id,longitude,latitude,time,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
20240101T00,77.56952478372068,12.980655855527084,2024-01-01 00:00:00,289.2477111816406,3.4362077663274704e-06,-1.868133544921875,0.28026580810546875
20240101T01,77.56952478372068,12.980655855527084,2024-01-01 01:00:00,289.06982421875,8.586794137954712e-07,-1.88153076171875,0.45974063873291016
20240101T02,77.56952478372068,12.980655855527084,2024-01-01 02:00:00,289.2060546875,2.08243727684021e-06,-1.779205322265625,0.6289463043212891
20240101T03,77.56952478372068,12.980655855527084,2024-01-01 03:00:00,290.56333923339844,2.08243727684021e-06,-1.6245574951171875,0.6961212158203125
20240101T04,77.56952478372068,12.980655855527084,2024-01-01 04:00:00,293.71397399902344,2.08243727684021e-06,-1.5211639404296875,0.7679443359375
20240101T05,77.56952478372068,12.980655855527084,2024-01-01 05:00:00,296.63751220703125,2.08243727684021e-06,-1.3347015380859375,0.807891845703125
20240101T06,77.56952478372068,12.980655855527084,2024-01-01 06:00:00,298.62013244628906,2.078711986541748e-06,-1.064453125,0.45815277099609375
20240101T07,77.56952478372068,12.980655855527084,2024-01-01 07:00:00,299.6290283203125,2.078711986541748e-06,-1.1550445556640625,0.10875129699707031
20240101T08,77.56952478372068,12.980655855527084,2024-01-01 08:00:00,300.6125030517578,2.078711986541748e-06,-1.238861083984375,-0.1174154281616211
20240101T09,77.56952478372068,12.980655855527084,2024-01-01 09:00:00,301.0924530029297,2.078711986541748e-06,-1.3385467529296875,0.15181350708007812
20240101T10,77.56952478372068,12.980655855527084,2024-01-01 10:00:00,301.1739959716797,2.078711986541748e-06,-1.405029296875,0.6873683929443359
20240101T11,77.56952478372068,12.980655855527084,2024-01-01 11:00:00,300.7410583496094,2.078711986541748e-06,-1.5126800537109375,1.1663742065429688
20240101T12,77.56952478372068,12.980655855527084,2024-01-01 12:00:00,299.5674591064453,2.938508885108604e-06,-1.52874755859375,1.1837959289550781
20240101T13,77.56952478372068,12.980655855527084,2024-01-01 13:00:00,297.3042297363281,2.938508885108604e-06,-2.235382080078125,1.1191024780273438
20240101T14,77.56952478372068,12.980655855527084,2024-01-01 14:00:00,295.8589782714844,2.938508885108604e-06,-2.60650634765625,0.8859329223632812
20240101T15,77.56952478372068,12.980655855527084,2024-01-01 15:00:00,294.94337463378906,2.938508885108604e-06,-3.11431884765625,0.8146228790283203
20240101T16,77.56952478372068,12.980655855527084,2024-01-01 16:00:00,293.98974609375,2.938508885108604e-06,-3.3833770751953125,0.8377571105957031
20240101T17,77.56952478372068,12.980655855527084,2024-01-01 17:00:00,293.12181091308594,2.9534100463024515e-06,-3.335296630859375,0.830322265625
20240101T18,77.56952478372068,12.980655855527084,2024-01-01 18:00:00,292.2804260253906,2.938508885108604e-06,-3.225860595703125,0.7429351806640625
20240101T19,77.56952478372068,12.980655855527084,2024-01-01 19:00:00,292.1660614013672,2.938508885108604e-06,-3.363372802734375,1.129058837890625
20240101T20,77.56952478372068,12.980655855527084,2024-01-01 20:00:00,291.7733459472656,2.938508885108604e-06,-3.5830230712890625,1.2742977142333984
20240101T21,77.56952478372068,12.980655855527084,2024-01-01 21:00:00,291.5908203125,2.938508885108604e-06,-2.95037841796875,1.0148162841796875
20240101T22,77.56952478372068,12.980655855527084,2024-01-01 22:00:00,291.453125,2.938508885108604e-06,-2.45623779296875,0.9832515716552734
20240101T23,77.56952478372068,12.980655855527084,2024-01-01 23:00:00,291.46131896972656,2.938508885108604e-06,-2.2420501708984375,0.8084812164306641
20240102T00,77.56952478372068,12.980655855527084,2024-01-02 00:00:00,291.3954315185547,2.938508885108604e-06,-2.0499420166015625,0.5706691741943359
20240102T01,77.56952478372068,12.980655855527084,2024-01-02 01:00:00,291.3760070800781,0.0,-2.0152130126953125,0.5295066833496094
20240102T02,77.56952478372068,12.980655855527084,2024-01-02 02:00:00,291.4183654785156,3.3527612686157227e-08,-2.22833251953125,0.5971946716308594
20240102T03,77.56952478372068,12.980655855527084,2024-01-02 03:00:00,292.1749725341797,3.3527612686157227e-08,-2.3690185546875,0.49199485778808594
20240102T04,77.56952478372068,12.980655855527084,2024-01-02 04:00:00,293.5931701660156,3.725290298461914e-08,-2.2792510986328125,0.3917655944824219
20240102T05,77.56952478372068,12.980655855527084,2024-01-02 05:00:00,295.7683868408203,3.725290298461914e-08,-2.2382049560546875,0.08879756927490234
20240102T06,77.56952478372068,12.980655855527084,2024-01-02 06:00:00,297.2759552001953,3.725290298461914e-08,-2.0905303955078125,-0.35334110260009766
20240102T07,77.56952478372068,12.980655855527084,2024-01-02 07:00:00,295.2630310058594,3.725290298461914e-08,-2.355712890625,0.35071849822998047
20240102T08,77.56952478372068,12.980655855527084,2024-01-02 08:00:00,295.9866485595703,8.895992209545511e-07,-2.3724822998046875,0.3500070571899414
20240102T09,77.56952478372068,12.980655855527084,2024-01-02 09:00:00,296.9670867919922,1.7493962332082447e-06,-2.2276153564453125,0.43536853790283203
20240102T10,77.56952478372068,12.980655855527084,2024-01-02 10:00:00,297.47740173339844,2.609193245461938e-06,-2.255126953125,0.45091819763183594
20240102T11,77.56952478372068,12.980655855527084,2024-01-02 11:00:00,297.5889434814453,2.609193245461938e-06,-2.0876007080078125,0.34395313262939453
20240102T12,77.56952478372068,12.980655855527084,2024-01-02 12:00:00,296.8622131347656,2.609193245461938e-06,-1.54937744140625,-0.029550552368164062
20240102T13,77.56952478372068,12.980655855527084,2024-01-02 13:00:00,295.5323791503906,2.6017427217084332e-06,-1.78692626953125,-0.4913005828857422
20240102T14,77.56952478372068,12.980655855527084,2024-01-02 14:00:00,294.19696044921875,2.6017427217084332e-06,-2.1376953125,-0.5030679702758789
20240102T15,77.56952478372068,12.980655855527084,2024-01-02 15:00:00,293.3979187011719,2.616643882902281e-06,-2.4030914306640625,-0.229217529296875
20240102T16,77.56952478372068,12.980655855527084,2024-01-02 16:00:00,292.8550109863281,2.616643882902281e-06,-2.6776885986328125,0.029083251953125
20240102T17,77.56952478372068,12.980655855527084,2024-01-02 17:00:00,292.1259460449219,2.616643882902281e-06,-2.84307861328125,0.3632049560546875
20240102T18,77.56952478372068,12.980655855527084,2024-01-02 18:00:00,291.25555419921875,2.616643882902281e-06,-2.760833740234375,0.5456390380859375
20240102T19,77.56952478372068,12.980655855527084,2024-01-02 19:00:00,291.63885498046875,2.616643882902281e-06,-2.598358154296875,0.5800323486328125
20240102T20,77.56952478372068,12.980655855527084,2024-01-02 20:00:00,291.0337829589844,2.616643882902281e-06,-2.50469970703125,0.5777587890625
20240102T21,77.56952478372068,12.980655855527084,2024-01-02 21:00:00,290.8886413574219,2.616643882902281e-06,-2.5,0.6026763916015625
20240102T22,77.56952478372068,12.980655855527084,2024-01-02 22:00:00,290.7042236328125,2.616643882902281e-06,-2.3683319091796875,0.59771728515625
20240102T23,77.56952478372068,12.980655855527084,2024-01-02 23:00:00,290.59303283691406,2.616643882902281e-06,-2.2310943603515625,0.529296875
20240103T00,77.56952478372068,12.980655855527084,2024-01-03 00:00:00,290.4768829345703,2.616643882902281e-06,-2.2118682861328125,0.4027862548828125
20240103T01,77.56952478372068,12.980655855527084,2024-01-03 01:00:00,290.3247985839844,0.0,-2.1775054931640625,0.3979949951171875
20240103T02,77.56952478372068,12.980655855527084,2024-01-03 02:00:00,290.4909362792969,8.568167686462402e-07,-2.66375732421875,0.5954761505126953
20240103T03,77.56952478372068,12.980655855527084,2024-01-03 03:00:00,291.9015808105469,8.568167686462402e-07,-3.7433013916015625,1.0709400177001953
